Name,Age,Position,Goals,Weekly Salary
Lionel,36,Forward,28,500000
Kevin,32,Midfielder,18,450000
Erling,24,Forward,32,400000
Kylian,25,Forward,30,550000
Mohamed,31,Forward,25,350000
Jude,21,Midfielder,15,300000
Vinicius,24,Forward,27,375000
Rodri,28,Midfielder,10,320000
Harry,30,Forward,22,400000
Bruno,29,Midfielder,14,280000
Virgil,32,Defender,6,300000
Ruben,27,Defender,5,275000
Trent,25,Defender,4,250000
Alisson,31,Goalkeeper,0,200000
Thibaut,32,Goalkeeper,0,225000
Bernardo,30,Midfielder,12,310000
Bukayo,23,Forward,20,290000
Declan,25,Midfielder,8,270000
Pedri,22,Midfielder,7,260000
Sergio,35,Defender,3,180000
